x,y
0.839997148,-151.8872894
1.205684566,-26.55968369
-0.435252534,81.87023448
4.30208703,436.3825454
6.89712259,1418.54283
1.374196806,33.56985907
5.48663991,598.3894895
5.27027756,716.3204822
2.22320667,6.322316751
1.720129796,77.43181568
6.19562503,833.4225717
-9.41060028,-1931.505516
5.374408541,631.7592105
1.799643598,-112.6582017
1.240166458,111.8299749
0.940953251,155.6409523
7.965876088,1839.507616
5.194365643,771.4830148
-4.375199904,-300.9525288
-3.466456635,-52.93214134
5.630915877,734.1161596
2.084409585,94.70873614
-6.653856211,-554.5017227
5.912928022,928.935826
-3.363168943,-166.3854322
-3.865247504,-35.38353973
-8.092342638,-957.5435686
-4.320051563,24.32663698
6.862442414,1287.593647
2.497137696,173.5310076
-9.842044995,-2152.849366
6.886913236,1381.550905
5.489707477,656.748426
-8.999631312,-1453.16079
2.716652383,-177.8860735
3.578473157,298.1464378
2.488268525,157.0417829
7.853598725,1834.771874
-1.616230085,-110.9318115
-1.378824185,55.44311295
-3.285769946,-211.0100598
-0.336777344,-68.15590775
3.976794328,382.245026
-7.182086073,-1025.049754
3.196488111,114.6419311
0.153395087,-20.84103241
8.961285166,2766.930899
-1.305160555,14.67542131
-7.364261146,-880.1307381
-7.102382439,-557.0354193
0.054524974,-10.61189345
-4.916089554,-175.3638001
-1.750661992,163.8658109
-4.144988093,-52.97132537
5.801609447,794.0381776
-1.898252242,-42.1507363
1.999146971,281.5904329
-0.581257232,-92.42811662
1.115724053,30.10134999
-4.887173967,-341.5626762
9.141791733,2797.056573
3.695944166,323.1290126
-1.896636155,66.21509127
6.300740256,850.3463699
0.354736364,73.66871607
6.875325851,1468.476004
0.994024966,18.89003756
-1.949914782,38.36388347
4.670108394,448.2885365
-4.374582083,-55.19782096
-1.528182742,159.6746035
-9.069206235,-1644.766855
-4.546224354,14.53936992
-1.981688179,83.5668287
4.19993924,274.4257919
2.853731373,91.25482754
6.120818858,695.7968008
-7.704499713,-1031.469944
2.990196329,79.353296
-6.366327205,-251.2691434
-5.793360621,-397.0560364
3.48436472,233.0788532
8.098071669,2055.944536
4.365633097,396.6152147
8.154044352,2061.730296
8.918470372,2655.694842
-8.919573468,-1489.655407
0.486175525,-9.515945694
4.968829798,717.9387023
0.891776877,-121.2272203
4.041582774,122.6175816
-4.429303142,-121.410797
9.295723443,3094.265593
-6.993020726,-730.2704323
7.845558184,1808.119774
3.456100631,230.0459782
-9.16566174,-1759.437766
7.935275892,1903.925943
7.825581501,1915.012847
-2.33211556,-42.84875829
