x,y
25.34652706,65.216793
88.18886683,13.94516688
57.92781578,71.59560416
46.06152468,71.00060496
7.929289225,80.85754716
95.72244007,67.24870878
36.75937336,96.57370599
0.556476531,26.33748511
76.50958055,4.784911964
93.27174504,0.598528865
5.349140125,89.04071248
99.36638833,64.51300378
98.70672927,27.70128702
88.92928858,74.47873587
33.07823592,92.43230408
39.49275434,10.07221625
64.02181841,27.96716774
40.77474407,14.82708142
53.62744303,67.66405504
96.87933531,86.50459324
96.80767427,44.32154554
87.30661366,81.45438547
40.09906386,81.79639098
9.479227383,23.34066834
56.29985142,9.638132527
59.51497075,54.97311587
69.33631757,76.61675583
74.91995045,39.43026836
51.75457262,76.49696562
54.62011613,90.02564168
32.91013229,71.82761594
35.44739864,93.66714954
80.12757599,29.39939175
1.15470353,89.93380293
26.67180761,49.44778332
75.04098879,79.78037631
46.47319813,21.12414809
62.42047742,63.39494067
37.24046547,6.155129359
54.19448402,17.77733925
74.2315734,9.226819733
95.69062123,45.6622459
12.74376751,69.49619919
48.14973164,49.21430321
9.805021994,11.29567884
58.9979928,23.0162008
57.95939772,19.18178359
77.75376674,81.33133366
51.77242381,43.3153532
45.59207126,52.66086876
