A,B
28.902498697373954,96.04604246014594
26.39903851069546,91.41651185339494
27.08452936718893,94.13437335642224
28.814811893869056,98.53614373382644
26.116801662773508,90.13455042352774
26.66574275593912,93.75294590056572
30.785824171423016,98.1668961211344
28.796905230645148,98.88424471351662
28.236367954073547,96.31178684130774
30.031054327039868,95.48908347269884
29.688745058534508,95.43505178592227
31.666445647326398,101.14843437610834
27.874009287875495,94.78491492378933
26.295883711821887,94.6180107124535
27.069494635790857,95.7016833372504
30.345048943881107,97.73126218903303
24.811098291448168,88.59236485126148
29.023748704188307,96.25821579672646
28.220245303146402,92.74336583208047
28.265722383928008,97.8604904961485
27.60202208960905,95.07178300848416
29.145994391194275,98.59234943379707
24.95893815011534,87.65966568780046
28.535576282288552,95.88775193965769
24.78705474378159,91.14338606948807
23.5099008678752,87.18889948518289
29.609331506827726,99.26345738559289
29.867152167874746,96.50497432178713
33.164403172247596,106.86093768264817
30.909691066154007,100.28133653698247
28.219128626078415,100.99238906400937
26.94505412492322,91.6279879844146
26.50805710498807,92.47646879691888
30.574642024435892,96.6274886023902
29.519214517872456,98.37042572569055
34.11416333606664,104.57213765289701
23.415498258596482,86.2936556151554
25.86978046107866,92.40188177818668
29.316593920245385,97.22675089427632
29.84278737415935,99.89063159045871
29.626972710774055,96.6916373503095
29.34775775802377,96.67882067273568
29.33411939693587,97.57339910987646
28.18532189747782,96.37514734955315
27.798726717289146,92.74123288641805
26.887933326580885,93.91674386023176
25.893943645803894,89.25439620154017
25.7855040584018,91.01190313722115
29.21365945667926,96.94054180020923
25.921199776333356,92.16427053645427
24.57080358946665,91.66158215443645
31.36577276336652,98.49544211291132
26.23437549934227,90.79352474401628
28.21378996455666,100.04617372745683
24.43696267682377,90.7556091971852
25.244690732462534,93.002341942236
25.73253533778862,92.93949083748329
29.444527604919955,93.6725593352095
23.764829608121644,89.46501372360119
25.093916323628534,89.67093937959798
24.084689701556677,89.90805624234203
26.093295064106254,92.48434223596713
28.232907617812565,94.28066063743306
27.078913008099498,93.5948316609958
29.546009549848517,98.98983811937977
24.613137451699522,88.61816724377418
32.55331978762189,101.79367231911995
22.62682558772933,87.6208777816019
27.277893344567282,95.08749554711925
29.07923464271539,98.12923288212419
22.0590391109604,84.94528601153367
26.527816867031788,92.03089609864702
29.712992689308994,96.25374472848026
32.299742662674845,101.31472834664382
28.190919854484093,95.1389259908718
29.871512454894596,97.60396299442436
28.085909279357402,96.03661634946968
26.226241640019605,93.12994976738882
23.42057628618577,88.35369026210788
27.541332304660262,93.30749408883958
24.32702406504334,88.60622108405872
30.80497221845637,96.43265568112135
31.579861878456814,100.32197939264086
27.306558205951028,96.27267320832603
28.71204035978109,92.3627922639536
24.51458464638297,91.2127294029166
24.422547281968942,89.79387386508088
28.32311327295456,97.75752830554487
29.347355373248615,97.56535133125922
29.49149649200392,98.09632080269196
26.39096963171319,90.55973708294434
28.97625208259515,96.63932609454527
30.677718376288322,98.53773220536746
30.152183582870116,97.61550397984269
31.60284593867755,102.43758853987514
24.526340201796142,89.81352055895975
24.910373477348813,91.1774528122614
31.06849191033873,99.11252861426189
