x,y
0.0,0.0
0.1,0.06487957945993802
0.2,0.1297474432429014
0.30000000000000004,0.19459187567191552
0.4,0.2594011610700057
0.5,0.32416358376019727
0.6,0.3888674280655156
0.7,0.4535009783089862
0.7999999999999999,0.5180525188136342
0.8999999999999999,0.5825103339024852
0.9999999999999999,0.6468627078985643
1.0999999999999999,0.711097925124897
1.2,0.7752042699045087
1.3,0.8391700265604249
1.4000000000000001,0.9029834794156706
1.5000000000000002,0.9666329127932713
1.6000000000000003,1.0301066110162524
1.7000000000000004,1.0933928584076393
1.8000000000000005,1.1564799392904574
1.9000000000000006,1.2193561379877318
2.0000000000000004,1.2820097388224878
2.1000000000000005,1.3444290261177514
2.2000000000000006,1.4066022841965475
2.3000000000000007,1.4685177973819012
2.400000000000001,1.5301638499968384
2.500000000000001,1.591528726364384
2.600000000000001,1.6526007108075638
2.700000000000001,1.7133680876494028
2.800000000000001,1.7738191412129267
2.9000000000000012,1.8339421558211604
3.0000000000000013,1.8937254157971297
3.1000000000000014,1.9531572054638595
3.2000000000000015,2.012225809144376
3.3000000000000016,2.070919511161703
3.4000000000000017,2.1292265958388676
3.5000000000000018,2.187135347498894
3.600000000000002,2.2446340504648084
3.700000000000002,2.301710989059636
3.800000000000002,2.3583544476064007
3.900000000000002,2.41455271042813
4.000000000000002,2.4702940618478477
4.100000000000001,2.52556678618858
4.200000000000001,2.5803591677733513
4.300000000000001,2.6346594909251886
4.4,2.688456039967116
4.5,2.741737099222159
4.6,2.7944909530133435
4.699999999999999,2.846705885663694
4.799999999999999,2.898370181496237
4.899999999999999,2.949472124833997
4.999999999999998,2.9999999999999996
5.0,3.0
5.1,3.0499580961866815
5.199999999999999,3.099414722064124
5.299999999999999,3.1484541911718202
5.399999999999999,3.1971608170492627
5.499999999999998,3.245618913235944
5.599999999999998,3.293912793271358
5.6999999999999975,3.3421267706949966
5.799999999999997,3.390345159046353
5.899999999999997,3.4386522718649197
5.9999999999999964,3.48713242269019
6.099999999999996,3.5358699250616565
6.199999999999996,3.5849490925188117
6.299999999999995,3.634454238601149
6.399999999999995,3.6844696768481606
